Seeds,Spike_based_r,Spike_based_g,Spike_based_b,Ca_based_60_r,Ca_based_60_g,Ca_based_60_b,Ca_based_15_r,Ca_based_15_g,Ca_based_15_b,Ca_based_0_r,Ca_based_0_g,Ca_based_0_b,Full_based_60_r,Full_based_60_g,Full_based_60_b,Full_based_15_r,Full_based_15_g,Full_based_15_b,Full_based_0_r,Full_based_0_g,Full_based_0_b
85,-Inf,3.9673530753366686,-Inf,-21.82160938694665,-21.82160938694665,-Inf,-17.206760131419873,-23.227360044699495,-Inf,-16.25826713285711,-22.278867046136735,-Inf,-22.79758172802473,5.36721757821226,-Inf,-9.118639112994488,-12.95634963777275,-Inf,-16.901960800285135,-16.901960800285135,-Inf
169,-35.268559871258745,-17.206760131419873,12.930102595367144,-Inf,-18.4163750790475,-Inf,-Inf,-25.105450102066122,-Inf,-Inf,-24.082399653118497,-24.082399653118497,-24.349678884278127,-20.827853703164504,-24.349678884278127,-Inf,-21.583624920952495,-18.06179973983887,-Inf,-26.84845361644413,-20.827853703164504
127,11.584649228270528,-Inf,-16.797936926568987,-Inf,-18.588378514285854,-Inf,-Inf,-27.958800173440753,-Inf,-Inf,-26.020599913279625,-Inf,-33.06425027550687,-15.002450535668002,-Inf,-30.102999566398122,-20.560574472004873,-Inf,-29.827233876685455,-23.80663396340583,-Inf
419,22.860296005081903,-Inf,-Inf,-15.19335689379261,-Inf,-Inf,-19.554472105776956,-25.575072019056577,-Inf,-19.554472105776956,-25.575072019056577,-Inf,-20.095977657635373,8.63787429564571,-Inf,-12.345999157693983,3.2170258499788873,-Inf,-9.976810088257976,3.450919565820627,-Inf
337,-21.82160938694665,-31.3640344813399,22.04088258014258,-18.30880850756746,-Inf,8.198978322901059,-29.39644031956326,-Inf,-16.332190044056382,-27.604224834232124,-Inf,-15.56302500767287,-19.840621406574495,-Inf,8.609384669979148,-24.825235813209826,-Inf,4.249864914699172,-26.02059991327962,-Inf,-6.020599913279624
211,-Inf,22.642346424708464,-Inf,9.394953137017366,-Inf,-39.912703891951004,-13.896280891297225,-Inf,-28.299466959416364,-15.659002665308243,-Inf,-33.160227933142245,8.673111218771448,-27.53153914113023,-35.49033931457099,-4.069910952709531,-42.8602960050819,-28.880895918361524,-8.519374645445625,-34.96376054012401,-34.96376054012401
295,2.1352953535942665,-Inf,13.01665624059978,-19.322834654780653,-15.801009473667026,-2.1160745233607785,-15.563025007672874,-20.0,-10.45757490560675,-16.25826713285711,-22.278867046136735,-10.23766721957749,-19.084850188786497,-32.14910046429337,14.7583741468884,-3.1940168573502383,-23.862491967089227,7.117573273426526,-4.972838524085856,-16.25826713285711,3.7417328671428915
460,5.537926318945232,-1.630703028822047,-Inf,-Inf,-13.684934950306253,7.338115498641375,-Inf,-9.920131977600724,-12.614103455549849,-Inf,-9.118639112994488,-15.139239026274112,-Inf,-12.369008150322635,19.138301986013037,-36.650178254124725,2.140206798247643,4.177675449039774,-Inf,-1.265636710884154,-3.161363098448172
43,-Inf,-15.917600346881507,-Inf,-18.18160701362262,11.392928615078999,-17.266457202409118,-19.55447210577696,-25.57507201905658,-25.57507201905658,-17.925011249232764,-29.96621107579201,-23.94561116251239,8.551821039687066,5.344840165545028,-22.175462376814927,-4.544875630061252,-17.745914396174236,-19.840621406574495,-10.237667219577489,-21.119028106583002,-21.119028106583002
1,-22.92256071356476,21.855081064737973,-Inf,3.4247751252253833,-29.542425094393252,12.852587383298433,-18.782701823531657,-35.04096895638877,-10.180207982662882,-18.485585721237637,-38.48558572123763,-13.380135619171515,4.569586570307392,-40.34066678597561,-4.285192280136088,-20.592449332136017,-31.22202767298112,-2.3411317546195947,-18.689969024871353,-42.21179420598497,-6.224983216913344
378,-Inf,-3.690488531850881,23.477167552467787,-32.86905352972375,25.53341299609073,-23.326628435330502,-25.845121427129524,-24.261496506177025,-15.215543086284418,-22.8185368398486,-22.8185368398486,-14.859736666407848,-34.32006687269598,24.30909054108412,-22.27886704613673,-22.278867046136735,0.16545051931979715,-11.397506159131224,-20.609786442958008,-4.787461891997781,-11.895215051729258
253,13.316032821667276,-19.748217453839597,13.506939179791884,-25.57507201905658,23.3266284353305,-29.096897200170204,-16.10850670500611,12.642981578472368,-41.213956807072236,-14.807253789884873,3.254545949954,-Inf,-26.84845361644413,22.156528549943097,-30.370278797557752,-15.36334058954086,13.636039583980095,-42.21179420598499,-20.609786442958008,11.0273456618355,-41.43764014612251
44,-Inf,-29.0968972001702,-Inf,-Inf,-Inf,6.929360691738661,-Inf,-Inf,-13.727617540559967,-Inf,-Inf,-14.264208869012581,-Inf,-Inf,8.79514033515829,-Inf,-Inf,3.790759655658552,-Inf,-Inf,-4.217067306297863
461,6.69912232273704,-Inf,-Inf,-Inf,-26.02059991327962,-Inf,-Inf,-35.56302500767287,-35.56302500767287,-Inf,-34.15140352195873,-34.15140352195873,-Inf,-21.248220715954638,-Inf,-Inf,-36.7769818147451,-36.7769818147451,-Inf,-29.827233876685455,-Inf
212,-Inf,-Inf,11.99677062668009,6.542311279564449,-24.860760973725892,-24.860760973725892,-14.193877394555837,-20.214477307835462,-20.214477307835462,-17.146649928625372,-21.5836249209525,-19.084850188786497,11.915010348419104,-40.34066678597561,-Inf,0.5890995867655127,-25.575072019056577,-21.13809702672945,-8.519374645445625,-18.06179973983887,-21.5836249209525
296,16.18887217275086,-Inf,-Inf,7.107753159731473,-26.44438589467839,-34.40318606811914,-3.6210935717446286,-26.84845361644413,-12.04119982655925,-8.733851953281082,-26.235077221115084,-14.193877394555836,7.942848121871503,-26.769129872092098,-31.206104864419224,0.9738384779944873,-31.89521505172926,3.858716314068222,1.2511100732928282,-15.44154205342901,4.558457946570991
86,-11.126050015345744,-34.64787519645937,17.23997581104917,-29.096897200170204,19.169098081454834,-Inf,-26.02059991327962,-5.46002544127475,-Inf,-22.444317565456533,-6.186050432599423,-Inf,-22.411478624116995,19.01142718490466,-26.848453616444125,-26.128500551013744,12.094651623785788,-Inf,-14.937871133064034,7.058042891846857,-Inf
379,2.9887812856848206,13.302234741501028,-28.943160626844385,-11.781900283271893,-24.349678884278127,13.323549818794225,-11.671531712678984,-17.692131625958606,-14.498114768608371,-12.684893493987273,-15.87891035133751,-14.135906836959508,0.8934078983892214,-18.06179973983887,-26.02059991327962,-8.0849896515809,-20.34066678597561,-14.320066872695987,-11.353821793934,-16.309511468149122,-13.013306495229278
338,-32.96720021961863,11.992265107617504,-Inf,3.609121289162629,-Inf,-36.39087871083737,-6.11450233744722,-Inf,-39.3696589710787,-10.822071307730734,-Inf,-37.266457202409114,2.99769141432193,-43.40523430789915,-43.40523430789915,-3.6057474729857852,-31.821292140529984,-37.84189205380961,-7.107753159731476,-40.17200343523835,-34.15140352195873
420,-32.66936911159173,17.101645218417158,-Inf,-25.483156985273602,-33.44195715871435,-Inf,-20.560574472004873,-26.5811743852845,-Inf,-18.515079432557748,-29.39644031956326,-Inf,16.983391612062572,-27.13962801986262,-Inf,8.312687494142306,-30.544002381259606,-Inf,6.732122998503547,-28.733851953281086,-Inf
128,-10.163109769192626,24.83505037881686,-Inf,-34.807253789884875,10.926365597213724,-Inf,-21.762721774011023,-10.282096419456643,-Inf,-21.159838939553737,-10.102999566398124,-Inf,-Inf,10.24276606893909,-Inf,-27.95880017344075,6.848453616444125,-35.91760034688151,-23.925892902879365,-6.676450181205773,-34.807253789884875
2,16.633856502429275,18.423764181694796,-Inf,-22.79758172802473,18.431467853719134,-Inf,-18.889653443003375,-8.786653876605257,-26.84845361644413,-16.368916904856327,-8.704581867829704,-25.91134199924958,-22.71325204000146,17.286747959998536,-Inf,-9.841968213786311,4.451684377109343,-27.45824005940214,-12.652519659871322,-5.936677621407461,-14.236144580823819
170,-35.56302500767287,13.032020592375284,19.824521513849895,-26.84845361644413,-14.80725378988488,21.35020885018177,-26.513049411446264,12.778428206974827,-5.174113618834001,-20.319762107682607,1.080995224472494,-0.3197621076826064,-28.299466959416357,-34.32006687269598,23.555168368462883,-27.95880017344075,9.0816454146218,0.3823258089414574,-24.436974992327123,9.864512430208622,-2.460256311445227
254,19.66264149425409,-Inf,-Inf,-16.901960800285135,31.330433318979463,-Inf,-9.118639112994488,30.99232479038171,-Inf,-10.027796588931984,9.057053599854513,-39.275756546911104,-16.25826713285711,29.620027687764935,-28.299466959416357,-11.765434136846583,27.427316689674043,-Inf,-5.8640931630404936,20.72676988988334,-Inf
462,14.353974097166002,-29.39644031956326,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,13.838162996970638,-Inf,-35.84783378996508,-20.0,-32.04119982655924,-Inf,-21.82160938694665,-Inf,-Inf
87,9.638402752028624,-Inf,-Inf,-15.563025007672874,35.490339314570996,-Inf,-0.36196444185592336,-5.845121427129523,-33.80392160057027,-4.2968769609539565,-7.646698706829231,-32.25567713439471,-19.084850188786497,32.39577516576788,-Inf,-3.86249196708923,22.397970239375535,-Inf,-0.9348680708465236,5.0857318424331,-33.80392160057027
45,-16.12359947967774,15.697692660852244,23.227360044699502,-22.278867046136735,-16.25826713285711,21.91143324471588,-17.583556591730645,-10.963692210902156,-4.382517825617661,-18.485585721237634,-10.881360887005513,-3.8377105247782612,-28.627275283179742,-23.766514309453854,14.807253789884882,-21.400757332155102,-2.812378817869246,15.088268068577156,-20.284808782292206,0.6736622640514506,1.4186234124440396
213,-2.498774732165999,36.14054756239745,-Inf,-16.539996358429214,-Inf,-Inf,-16.353195833346344,-33.25515663363148,-Inf,-14.462073681054763,-31.3640344813399,-Inf,4.34505995854415,-31.5956719323362,-41.13809702672945,3.6812037745391315,-Inf,-37.14664992862537,0.6684751097389909,-33.97940008672038,-Inf
380,22.449602560835928,16.23668727172432,-20.28480878229221,9.271573628086387,-25.575072019056577,-Inf,-7.263558048256514,-9.542425094393248,-29.542425094393252,-9.54242509439325,-8.627275283179745,-28.62727528317975,10.358306514975741,-17.306028522050884,-Inf,5.914023243178283,-14.754451866560709,-38.276277047674334,-2.7932398685801276,-0.9151498112135055,-16.47817481888638
421,7.98819407505626,14.521552728621408,-Inf,-20.668475109738992,12.472641947403085,-28.62727528317975,-7.958800173440754,2.713252040001459,-20.0,-5.264828695491629,0.3861031039077325,-17.306028522050877,-21.138097026729454,12.875977316170935,-29.096897200170204,-8.61327706961322,8.554327970836024,-21.868433703244705,1.4510133429722316,3.9497880751382297,-16.390878710837377
171,22.952054424884874,-Inf,-26.444385894678387,5.006094363828879,7.495255492757732,-Inf,7.339170187445791,-8.858143083771214,-Inf,1.3389357926122645,-2.995246406666644,-Inf,4.663699502809348,8.661769467904577,-Inf,10.622576414115203,-13.184057549290625,-Inf,9.118639112994488,-2.7080834057292993,-Inf
129,-Inf,18.201415208383057,-Inf,-2.5355015929659466,4.68624407839966,8.175958725204918,-16.90196080028514,-6.79896123388702,-20.0,-16.47817481888638,-7.604224834232124,-23.521825181113627,-3.445965400770837,8.228849581513698,8.481194849299005,-9.876538964450303,6.576051477652615,-19.678263602130905,-11.926153248777421,-1.7946285676186577,-7.1309464702762515
297,-Inf,9.083033047764468,9.489623171069079,-Inf,5.095443315661997,4.22744678130882,-35.84783378996508,8.684164314182068,-16.29336168418812,-33.06425027550688,0.28480878229220197,-5.105450102066122,-Inf,5.75816636684152,13.052753398066502,-32.32600860885145,9.111631537271053,-14.264208869012585,-42.21179420598497,6.543217050422783,-10.847759724645076
339,8.28443946494464,8.055850229329005,-38.98780013289824,14.775611169687382,-33.97940008672038,-Inf,-0.35457533920863105,-27.95880017344075,-Inf,-0.7901708256734717,-27.234556720351858,-Inf,13.329132010270468,-Inf,-26.164171605822087,12.274079449833401,-27.23455672035186,-Inf,5.86409316304049,-22.922560713564764,-Inf
3,19.954164064408303,-Inf,-8.073846751222579,2.9225607135647587,-15.665817800721094,-Inf,-16.901960800285135,-9.297735966053015,-Inf,-18.06179973983887,-8.519374645445625,-Inf,-38.58837851428585,15.373632398181945,-Inf,-17.817110611498638,7.016032247899538,-Inf,-10.785383229370138,4.665564227942762,-Inf
255,4.174314686901486,12.513253063268339,-29.920131977600718,23.126944017198483,-Inf,-11.821292140529984,-16.309511468149122,-21.686417714000722,-32.56777860100624,-16.25826713285711,-19.35630633257197,-30.237667219577485,23.312516507550324,-Inf,-8.943160626844385,-2.0947070104002585,6.379686231368184,-34.20798932233601,-6.470746733236647,-4.206107191735658,-27.871504065391747
214,-Inf,-Inf,5.704714569614987,-Inf,-Inf,-1.7430035143780052,-Inf,-Inf,-12.041199826559247,-Inf,-Inf,-10.45757490560675,-Inf,-Inf,9.542425094393248,-Inf,-Inf,-10.6295783408451,-Inf,-Inf,-13.380135619171513
88,-21.02305044894763,18.393181768502725,-Inf,-24.261496506177025,20.465889261308572,-33.80392160057028,-Inf,-7.724032108015867,-Inf,-35.706596700215336,-8.858143083771214,-Inf,-28.627275283179742,20.545481697333244,-Inf,-Inf,13.125118707068658,-23.973141739088454,-33.06425027550688,-1.1323083629776733,-27.043650362227254
422,-33.06425027550688,6.02059991327962,-19.0848501887865,22.129106618285736,-31.126050015345747,-31.126050015345747,-6.848453616444123,-15.722403601098378,-28.786653876605254,-6.61986438082849,-13.064250275506877,-27.043650362227254,22.13354839267968,-28.130803608679102,-28.130803608679102,6.145578898819657,0.48947538766401566,-30.75638190146548,-1.714242264131648,-11.416045951950405,-30.5008961407369
463,23.21702584997889,-Inf,-Inf,-Inf,-Inf,-30.963692210902156,-37.501225267834,-Inf,-Inf,-29.542425094393245,-35.56302500767287,-Inf,-Inf,-44.65992220784308,-16.032646924663332,-Inf,-Inf,-38.276277047674334,-37.84189205380961,-37.84189205380961,-37.84189205380961
4,-Inf,-Inf,13.496726492385992,-14.735171304508373,-20.0,14.701326993685909,-10.282096419456648,-Inf,11.679235384703324,-8.14970653156536,-Inf,6.744843366368521,-10.45757490560675,-17.501225267834002,15.777502315508334,-16.102694801384743,-38.38156184752148,10.955790559560715,-7.130946470276253,-24.43697499232713,10.157117433916616
381,-32.66936911159173,18.13722038422575,21.15226073086764,16.913658969916103,-26.52671721857503,10.692015195426842,-26.107027388932472,-21.00157728686635,-5.438552279193477,-24.506185634517262,-21.583624920952502,-12.041199826559254,14.101642928077105,-26.513049411446264,11.026694277108504,-13.82002149329487,-21.5836249209525,11.629469210923698,-18.308808507567456,-17.065850372590564,-5.93980035724482
46,17.707224400630245,-19.999999999999996,17.774819213657857,-33.160227933142245,13.468317997272617,-39.18082784642187,-29.685996786935718,7.184887451976988,-20.899342910330464,-28.94316062684439,-4.860760973725891,-17.657732018073137,-33.533872192497334,12.701205028617755,10.494070293911697,-Inf,10.750385429264554,-15.31833587933264,-35.34311732164361,-1.9940582638445312,-7.559795634352959
172,36.52149605401653,-Inf,-6.020599913279624,-24.082399653118497,-20.56057447200487,23.736302488949086,-23.80663396340583,-9.827233876685455,-1.5277669172690953,-28.62727528317975,-8.627275283179744,-2.60667536990012,-30.756381901465485,-27.234556720351858,19.78331946973443,-17.146649928625372,-4.681664120667361,5.650931799399358,-12.308479057718877,-6.287879144439254,2.09470701040026
340,18.641995287241283,-Inf,16.22303020973138,3.2346621801762785,-22.018009914817224,8.452917629296252,1.6081267415386213,-4.171182943713391,-10.07360566478261,-9.066366800940752,-4.156113444657758,-8.082006347537119,1.8684337032446983,-29.542425094393252,10.947288259590087,-13.727617540559965,-5.169552899570347,4.933446666827771,-2.4776668490246903,-7.171386335455262,3.668514379092946
130,-7.958800173440752,-Inf,30.814929284876868,-29.827233876685458,-Inf,-8.999380173520956,-29.347228348610123,-29.347228348610123,-6.848453616444123,-27.724032108015876,-31.245857289129496,-10.031900482057265,-Inf,-Inf,4.311996006787097,-Inf,-30.963692210902156,1.7056769006895733,-24.082399653118497,-16.72286394722661,-6.390268027159887
298,9.019576571082856,10.2031582761394,8.012361841449687,-Inf,-4.082399653118494,28.475154238480936,-Inf,-10.808061805277404,21.194733140860002,-28.839136753128226,-10.422761674080725,-0.6517473440718387,-Inf,12.081319480511219,17.796405262866536,-Inf,-11.725314482894609,23.171716743334407,-Inf,-5.788962462283319,17.97331792574229
256,-25.264828695491627,15.999335705932598,13.081779826639451,31.328749843901406,-Inf,-20.0,28.314638822903675,-17.306028522050877,-17.306028522050877,11.48062535455438,-22.92256071356476,-9.388688521067428,28.730068076227973,-Inf,-Inf,24.867121933100663,-25.800692227250362,-25.800692227250362,27.62065982425959,-14.807253789884879,-14.807253789884879
423,-34.48551739201578,-Inf,-Inf,-Inf,8.696227372503278,-Inf,-38.169700377572994,-10.935143657221133,-Inf,-Inf,-11.544728152058607,-Inf,-Inf,17.964021337999252,-Inf,-39.912703891951,-1.636426844276662,-Inf,-Inf,-2.8781315136856014,-Inf
215,-Inf,18.25131757751642,-13.727617540559969,-30.500896140736906,-Inf,-Inf,-35.417040232842886,-Inf,-Inf,-33.624824747511745,-Inf,-Inf,-33.624824747511745,-Inf,-Inf,-37.84189205380961,-Inf,-37.84189205380961,-35.986810989071635,-Inf,-35.986810989071635
89,-29.396440319563265,18.886306924126274,-25.87461513844964,2.9001743876726778,-34.88585966245353,-31.3640344813399,-9.096897200170204,-29.096897200170204,-29.096897200170204,-8.873949984654256,-27.958800173440753,-27.958800173440753,15.357952320361816,-40.0,-21.938200260161125,-4.204451632855574,-19.605118836084856,-21.788008224586214,-3.409747630753654,-18.644964314663138,-19.668014763610767
47,16.621746511428846,-33.06425027550687,-27.04365036222725,-41.93820026016113,8.37927661407245,-35.91760034688151,-41.72719661349497,3.8478754055616102,-19.448329567358233,-Inf,3.3046666293494575,-6.689075023018618,-42.07607441911914,8.680307482346347,-36.05547450583951,-40.82785370316451,7.6042248342321175,-31.285428608771255,-40.340666785975614,3.8496335048770094,-14.320066872695987
299,-Inf,-17.20676013141987,-Inf,-15.380157418875475,13.601693203512903,-Inf,-11.018149377611623,-4.082399653118497,-Inf,-11.76543413684658,-5.2182554491199715,-Inf,-15.822324550960223,17.432832082671254,-Inf,-11.480625354554379,9.542425094393248,-Inf,-12.736441951743487,3.595748092312899,-Inf
464,27.01603224789954,-26.444385894678383,-16.901960800285135,-2.711154252371882,8.91163286214528,-25.895620927739596,-15.782932693702135,-19.999999999999996,-20.0,-18.061799739838868,-18.061799739838868,-17.038749290891243,5.532107926651255,10.46435810754311,-25.242238592672233,-14.468249216073577,0.08599960985448055,-19.215467531965654,-19.477943948715897,-7.436744122156648,-16.452590442102913
173,-Inf,-27.234556720351858,19.189123825694423,4.18796882133438,-33.25515663363148,-25.29635646019073,-8.519374645445623,-24.082399653118497,-24.082399653118497,-10.881360887005515,-28.94316062684439,-22.922560713564764,1.9959140249108966,-32.04119982655924,-21.583624920952495,-7.2735360960374065,-0.263228921159416,-22.54209596729615,-9.94649281615899,-6.424667635045365,-1.743003514378003
382,14.06728504868222,17.704923807413753,-21.43764014612251,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.17547848615010495,-30.282096419456646,-30.881360887005513,-4.860760973725889,-12.81956114716664,-29.24795995797912,-11.186160218140248,-11.186160218140248
5,17.70156768298448,21.4376401461225,-1.9382002601611314,-28.83913675312823,16.054650456729455,-32.36096193424186,-25.105450102066122,-14.867782882488632,-23.16724984190499,-23.521825181113627,-13.979400086720375,-21.5836249209525,6.537769887776373,10.009241944465064,-26.181952348240287,-17.69213162595861,6.9508424991647555,-25.650931799399363,-15.450947457312898,-4.665564227942761,-20.8278537031645
131,-15.31833587933264,-30.881360887005513,24.17496773675991,-32.36096193424186,-28.83913675312823,18.03559794127252,-3.837710524778262,-16.901960800285135,-4.3341821992789065,-4.5448756300612505,-16.5860754566205,-5.105450102066125,-27.783321687290652,-21.762721774011027,16.70992888952994,0.43438499386472607,-6.715842038463863,-12.736441951743487,-2.5818939275891535,-8.602493840868776,-12.81956114716664
341,-7.958800173440752,9.110739258299798,4.468502757026228,-Inf,-32.86905352972375,13.471308491238482,-Inf,-26.305408695571835,0.5430449208722918,-Inf,-28.786653876605257,-7.203028955652759,-Inf,-32.669369111591735,14.843903167625978,-Inf,-30.544002381259602,8.572958341835264,-39.18082784642187,-33.160227933142245,4.9556896742151215
257,0.9330404244140956,-Inf,3.124861319756999,-12.464985807958007,21.062788883665494,-23.945611162512385,-22.35278995733601,4.273506034032964,-25.874615138449638,-19.18082784642187,-3.617802838748996,-20.095977657635373,7.389747526396661,15.468354973621166,-32.2556771343947,-16.25826713285711,18.199893103825048,-20.939931253524474,-17.692131625958613,11.23032365225367,-25.650931799399363
216,-12.32600860885145,-Inf,-35.84783378996508,-Inf,-Inf,-26.16417160582209,-Inf,-Inf,-31.595671932336206,-Inf,-Inf,-Inf,-Inf,-Inf,-25.22525737584987,-Inf,-Inf,-27.604224834232124,-Inf,-Inf,-32.25567713439471
